Siparis_ID,Musteri_ID,Urun_ID,Siparis_Tarihi,Adet
5092,M097,U014,2023-10-01,1
5093,M051,U001,2023-09-22,2
5094,M082,U019,2023-10-05,3
5095,M054,U010,2023-10-22,3
5096,M020,U015,2023-07-13,1
5097,M061,U016,2023-10-25,2
5098,M052,U010,2023-10-20,2
5099,M077,U001,2023-10-07,3
5100,M048,U015,2023-08-17,1
5101,M031,U008,2023-09-04,3
5102,M021,U017,2023-06-07,3
5103,M073,U002,2023-06-15,1
5104,M054,U010,2023-07-13,1
5105,M004,U006,2023-09-28,2
5106,M006,U017,2023-08-02,1
5107,M003,U005,2023-10-04,2
5108,M099,U012,2023-06-06,2
5109,M081,U012,2023-08-06,1
5110,M020,U009,2023-06-11,1
5111,M084,U008,2023-06-30,3
5112,M092,U016,2023-08-15,2
5113,M041,U018,2023-09-18,3
5114,M043,U020,2023-08-15,2
5115,M008,U004,2023-10-02,3
5116,M093,U012,2023-10-03,3
5117,M056,U016,2023-08-31,1
5118,M021,U019,2023-07-19,3
5119,M097,U011,2023-08-13,1
5120,M001,U019,2023-09-18,3
5121,M099,U002,2023-07-14,1
5122,M062,U012,2023-09-09,1
5123,M050,U008,2023-07-22,3
5124,M010,U016,2023-06-14,3
5125,M033,U016,2023-06-22,3
5126,M085,U020,2023-06-23,1
5127,M083,U006,2023-07-14,2
5128,M052,U018,2023-07-19,3
5129,M055,U008,2023-09-20,2
5130,M025,U008,2023-09-01,2
5131,M092,U005,2023-07-21,3
5132,M085,U002,2023-10-12,3
5133,M024,U007,2023-06-21,3
5134,M051,U018,2023-06-01,3
5135,M065,U008,2023-10-24,2
5136,M041,U016,2023-10-28,3
5137,M023,U016,2023-08-02,2
5138,M052,U015,2023-10-09,1
5139,M054,U020,2023-10-11,3
5140,M012,U008,2023-06-16,1
5141,M093,U003,2023-08-09,1
5142,M036,U011,2023-08-13,3
5143,M048,U005,2023-08-29,3
5144,M082,U005,2023-06-19,1
5145,M097,U015,2023-07-01,2
5146,M079,U020,2023-06-06,1
5147,M077,U005,2023-09-13,1
5148,M061,U015,2023-06-17,1
5149,M011,U011,2023-08-08,1
5150,M082,U002,2023-09-22,3
5151,M095,U017,2023-06-11,3
5152,M007,U002,2023-09-21,3
5153,M053,U018,2023-10-16,2
5154,M096,U020,2023-10-26,3
5155,M047,U010,2023-07-05,2
5156,M093,U011,2023-08-31,1
5157,M034,U010,2023-08-29,3
5158,M072,U004,2023-08-04,3
5159,M049,U011,2023-09-27,2
5160,M052,U006,2023-08-10,1
5161,M020,U018,2023-07-14,1
5162,M057,U012,2023-09-19,2
5163,M021,U011,2023-07-19,3
5164,M082,U005,2023-06-13,1
5165,M098,U019,2023-07-14,3
5166,M069,U018,2023-07-09,1
5167,M074,U010,2023-08-30,2
5168,M098,U012,2023-08-18,2
5169,M010,U007,2023-08-30,1
5170,M083,U003,2023-10-23,1
5171,M057,U018,2023-07-31,3
5172,M080,U009,2023-10-21,3
5173,M038,U002,2023-10-07,2
5174,M085,U011,2023-09-28,3
5175,M090,U002,2023-09-04,2
5176,M062,U016,2023-08-12,3
5177,M063,U001,2023-09-04,2
5178,M075,U019,2023-09-29,1
5179,M030,U013,2023-09-20,2
5180,M088,U009,2023-06-28,2
5181,M015,U003,2023-06-28,2
5182,M056,U008,2023-07-16,3
5183,M088,U006,2023-06-02,3
5184,M071,U010,2023-07-12,2
5185,M074,U007,2023-07-02,1
5186,M041,U001,2023-08-27,2
5187,M025,U015,2023-06-15,3
5188,M100,U016,2023-10-24,1
5189,M003,U018,2023-08-15,3
5190,M023,U017,2023-06-27,1
5191,M064,U010,2023-10-26,2
5192,M007,U013,2023-07-13,1
5193,M049,U001,2023-10-01,2
5194,M053,U020,2023-10-24,3
5195,M082,U001,2023-06-08,3
5196,M022,U009,2023-09-12,1
5197,M076,U017,2023-10-02,2
5198,M031,U011,2023-10-17,1
5199,M047,U019,2023-10-28,1
5200,M074,U001,2023-07-08,1
5201,M017,U007,2023-08-09,1
5202,M096,U003,2023-10-04,2
5203,M094,U002,2023-09-24,2
5204,M090,U001,2023-07-25,1
5205,M079,U019,2023-07-23,3
5206,M097,U012,2023-06-08,2
5207,M020,U017,2023-10-04,2
5208,M012,U005,2023-09-29,1
5209,M039,U006,2023-10-05,3
5210,M061,U010,2023-06-15,2
5211,M038,U002,2023-09-01,1
5212,M011,U012,2023-10-13,2
5213,M005,U004,2023-10-21,3
5214,M022,U005,2023-06-12,1
5215,M086,U014,2023-06-13,1
5216,M039,U002,2023-09-14,2
5217,M043,U017,2023-08-15,2
5218,M033,U013,2023-06-04,3
5219,M070,U001,2023-09-28,1
5220,M072,U003,2023-09-05,3
5221,M090,U012,2023-08-08,3
5222,M070,U002,2023-06-13,2
5223,M075,U015,2023-08-19,2
5224,M022,U006,2023-08-28,2
5225,M013,U012,2023-07-27,2
5226,M007,U010,2023-06-02,3
5227,M037,U004,2023-09-01,1
5228,M017,U019,2023-06-08,2
5229,M030,U012,2023-10-16,1
5230,M078,U010,2023-10-18,3
5231,M049,U018,2023-09-09,3
5232,M058,U011,2023-06-02,3
5233,M017,U010,2023-07-19,2
5234,M045,U017,2023-08-12,2
5235,M090,U004,2023-09-24,1
5236,M029,U013,2023-10-16,2
5237,M087,U010,2023-08-03,3
5238,M088,U014,2023-06-06,1
5239,M030,U013,2023-07-24,1
5240,M007,U003,2023-09-01,2
5241,M014,U006,2023-06-16,3
5242,M010,U001,2023-09-14,1
5243,M090,U003,2023-10-21,3
5244,M056,U016,2023-08-06,1
5245,M003,U018,2023-06-27,1
5246,M073,U020,2023-06-20,2
5247,M083,U009,2023-06-20,2
5248,M078,U004,2023-08-16,3
5249,M030,U008,2023-09-23,1
5250,M062,U011,2023-08-15,1
5251,M056,U002,2023-09-20,1
5252,M056,U009,2023-07-07,2
5253,M019,U019,2023-08-13,3
5254,M073,U017,2023-10-20,2
5255,M027,U016,2023-09-12,3
5256,M013,U009,2023-06-13,1
5257,M051,U018,2023-06-26,1
5258,M067,U008,2023-08-10,1
5259,M015,U002,2023-06-15,3
5260,M054,U013,2023-10-07,3
5261,M005,U004,2023-07-04,2
5262,M040,U002,2023-07-27,2
5263,M041,U010,2023-09-21,3
5264,M070,U014,2023-06-06,3
5265,M028,U006,2023-07-24,1
5266,M005,U020,2023-07-07,3
5267,M035,U011,2023-08-04,3
5268,M077,U012,2023-06-13,3
5269,M098,U018,2023-07-06,3
5270,M027,U013,2023-08-04,2
5271,M055,U019,2023-09-09,3
5272,M057,U012,2023-09-15,2
5273,M072,U008,2023-08-21,3
5274,M051,U002,2023-06-06,3
5275,M063,U015,2023-07-14,1
5276,M058,U008,2023-06-09,2
5277,M076,U006,2023-06-20,1
5278,M090,U004,2023-10-17,3
5279,M083,U006,2023-10-16,1
5280,M078,U012,2023-07-12,3
5281,M007,U017,2023-09-28,1
5282,M019,U015,2023-06-19,3
5283,M032,U016,2023-06-26,1
5284,M023,U006,2023-07-05,3
5285,M031,U003,2023-09-27,1
5286,M015,U004,2023-06-19,3
5287,M099,U002,2023-06-26,2
5288,M057,U003,2023-10-28,1
5289,M096,U004,2023-07-22,1
5290,M082,U019,2023-09-04,1
5291,M068,U009,2023-08-21,1
5292,M065,U018,2023-07-24,2
5293,M026,U018,2023-09-23,2
5294,M075,U018,2023-08-16,3
5295,M058,U001,2023-08-28,1
5296,M034,U017,2023-08-05,1
5297,M079,U014,2023-09-14,2
5298,M056,U003,2023-08-16,1
5299,M099,U012,2023-07-07,1
5300,M009,U013,2023-08-08,1
5301,M031,U002,2023-08-27,2
5302,M099,U014,2023-09-10,3
5303,M009,U009,2023-08-27,3
5304,M051,U008,2023-06-03,3
5305,M038,U008,2023-08-17,1
5306,M003,U007,2023-07-15,1
5307,M002,U004,2023-08-07,2
5308,M061,U004,2023-08-29,1
5309,M075,U018,2023-09-12,3
5310,M042,U004,2023-09-10,2
5311,M055,U014,2023-06-13,3
5312,M046,U011,2023-06-01,3
5313,M077,U004,2023-09-20,3
5314,M074,U017,2023-06-13,3
5315,M056,U004,2023-10-06,3
5316,M021,U013,2023-06-20,2
5317,M015,U005,2023-08-08,2
5318,M039,U020,2023-10-15,1
5319,M086,U004,2023-09-19,2
5320,M043,U007,2023-09-06,1
5321,M079,U014,2023-07-01,1
5322,M060,U016,2023-08-23,2
5323,M019,U019,2023-06-11,1
5324,M068,U016,2023-08-06,2
5325,M095,U009,2023-07-09,1
5326,M051,U010,2023-06-16,3
5327,M047,U019,2023-09-26,3
5328,M092,U012,2023-09-30,1
5329,M073,U010,2023-07-10,3
5330,M086,U009,2023-07-15,3
5331,M027,U017,2023-07-04,1
5332,M026,U003,2023-09-29,2
5333,M042,U015,2023-08-27,1
5334,M047,U006,2023-06-25,3
5335,M069,U002,2023-10-12,3
5336,M094,U019,2023-08-06,1
5337,M047,U020,2023-08-18,3
5338,M047,U005,2023-09-26,1
5339,M083,U010,2023-08-07,2
5340,M056,U003,2023-06-24,3
5341,M046,U016,2023-09-22,2
5342,M052,U006,2023-09-04,3
5343,M030,U002,2023-07-26,2
5344,M005,U019,2023-06-25,1
5345,M091,U007,2023-08-26,2
5346,M053,U001,2023-09-26,2
5347,M002,U003,2023-08-11,2
5348,M004,U008,2023-09-18,2
5349,M024,U017,2023-10-29,3
5350,M005,U017,2023-07-19,2
5351,M053,U013,2023-10-17,2
5352,M024,U017,2023-06-20,1
5353,M014,U002,2023-07-28,3
5354,M075,U001,2023-06-15,2
5355,M041,U019,2023-08-10,3
5356,M090,U015,2023-10-10,2
5357,M074,U003,2023-10-15,1
5358,M041,U016,2023-09-24,2
5359,M055,U013,2023-09-22,1
5360,M060,U009,2023-10-20,1
5361,M018,U005,2023-06-08,3
5362,M090,U012,2023-08-02,1
5363,M002,U005,2023-06-24,3
5364,M052,U004,2023-09-24,1
5365,M077,U002,2023-10-04,1
5366,M013,U002,2023-10-18,3
5367,M022,U008,2023-09-07,2
5368,M010,U018,2023-09-16,1
5369,M027,U016,2023-09-05,3
5370,M078,U017,2023-08-31,2
5371,M066,U014,2023-08-25,2
5372,M080,U011,2023-08-26,3
5373,M045,U018,2023-06-17,1
5374,M018,U010,2023-07-04,1
5375,M040,U011,2023-06-19,2
5376,M018,U015,2023-09-06,3
5377,M067,U018,2023-06-17,2
5378,M063,U008,2023-07-11,3
5379,M008,U006,2023-07-31,2
5380,M087,U013,2023-09-10,2
5381,M020,U015,2023-08-18,2
5382,M053,U019,2023-06-13,2
5383,M086,U002,2023-09-05,1
5384,M085,U003,2023-06-07,2
5385,M056,U018,2023-06-22,1
5386,M051,U001,2023-09-07,3
5387,M022,U015,2023-07-08,3
5388,M041,U015,2023-06-29,2
5389,M004,U013,2023-09-03,2
5390,M068,U015,2023-09-25,3
5391,M006,U008,2023-10-14,1
5392,M057,U005,2023-07-21,2
5393,M058,U006,2023-08-16,2
5394,M063,U009,2023-10-06,2
5395,M022,U009,2023-06-15,2
5396,M042,U003,2023-08-18,2
5397,M015,U015,2023-06-29,3
5398,M031,U012,2023-07-27,3
5399,M009,U018,2023-10-19,2
5400,M014,U011,2023-07-21,3
5401,M083,U010,2023-07-03,3
5402,M036,U003,2023-07-20,3
5403,M096,U012,2023-08-16,3
5404,M054,U007,2023-08-16,1
5405,M055,U019,2023-10-11,3
5406,M074,U007,2023-09-09,3
5407,M084,U001,2023-06-03,1
5408,M098,U011,2023-08-08,3
5409,M085,U002,2023-06-24,3
5410,M001,U014,2023-09-10,1
5411,M005,U002,2023-06-22,1
5412,M043,U018,2023-08-10,2
5413,M069,U019,2023-10-16,1
5414,M035,U014,2023-09-10,1
5415,M078,U018,2023-10-16,1
5416,M017,U019,2023-07-14,3
5417,M021,U019,2023-07-04,3
5418,M050,U004,2023-10-05,2
5419,M040,U003,2023-10-26,3
5420,M049,U008,2023-09-02,2
5421,M095,U019,2023-06-17,1
5422,M016,U019,2023-10-12,3
5423,M047,U017,2023-10-04,1
5424,M084,U016,2023-08-01,3
5425,M078,U008,2023-09-18,3
5426,M045,U008,2023-09-07,3
5427,M066,U007,2023-10-12,2
5428,M059,U002,2023-10-17,2
5429,M073,U020,2023-09-27,3
5430,M085,U009,2023-08-08,1
5431,M067,U010,2023-09-06,2
5432,M100,U016,2023-10-02,2
5433,M098,U014,2023-06-07,1
5434,M035,U006,2023-08-02,2
5435,M016,U014,2023-10-11,3
5436,M090,U015,2023-08-27,3
5437,M046,U015,2023-06-14,2
5438,M015,U013,2023-06-21,2
5439,M080,U008,2023-10-02,1
5440,M045,U006,2023-07-12,1
5441,M035,U020,2023-06-04,1
5442,M059,U011,2023-08-24,3
5443,M036,U013,2023-06-27,1
5444,M042,U009,2023-09-28,3
5445,M038,U011,2023-08-08,2
5446,M005,U013,2023-08-31,2
5447,M008,U020,2023-07-12,2
5448,M033,U013,2023-06-04,2
5449,M040,U001,2023-10-21,3
5450,M058,U017,2023-06-23,2
5451,M044,U020,2023-09-07,2
5452,M047,U004,2023-06-09,2
5453,M089,U015,2023-10-16,2
5454,M025,U006,2023-07-12,3
5455,M096,U005,2023-09-29,1
5456,M076,U011,2023-09-21,1
5457,M046,U004,2023-06-22,3
5458,M005,U015,2023-07-21,2
5459,M081,U019,2023-09-12,2
5460,M012,U006,2023-07-14,2
5461,M058,U009,2023-08-25,1
5462,M074,U012,2023-08-17,1
5463,M074,U005,2023-10-20,2
5464,M038,U010,2023-06-21,2
5465,M083,U007,2023-07-15,2
5466,M007,U015,2023-10-09,3
5467,M094,U002,2023-10-09,3
5468,M020,U012,2023-08-15,1
5469,M051,U016,2023-07-15,3
5470,M052,U009,2023-09-02,1
5471,M038,U002,2023-06-24,1
5472,M082,U020,2023-08-27,1
5473,M093,U009,2023-08-24,1
5474,M011,U014,2023-09-01,3
5475,M054,U019,2023-10-19,3
5476,M091,U017,2023-08-06,1
5477,M094,U018,2023-07-06,3
5478,M048,U011,2023-07-29,3
5479,M071,U009,2023-10-01,1
5480,M097,U020,2023-07-15,2
5481,M077,U019,2023-08-12,2
5482,M056,U009,2023-06-05,2
5483,M037,U013,2023-10-26,3
5484,M044,U019,2023-06-20,3
5485,M050,U011,2023-07-14,3
5486,M007,U007,2023-07-23,2
5487,M095,U019,2023-08-23,2
5488,M047,U015,2023-06-29,1
5489,M016,U019,2023-09-01,3
5490,M025,U018,2023-10-07,3
5491,M069,U001,2023-07-15,1
5492,M067,U011,2023-09-17,3
5493,M094,U010,2023-09-15,2
5494,M014,U015,2023-07-13,2
5495,M013,U012,2023-09-02,2
5496,M034,U011,2023-10-17,1
5497,M002,U014,2023-07-15,1
5498,M014,U011,2023-10-28,2
5499,M099,U014,2023-06-06,2
5500,M035,U014,2023-10-15,2
5501,M068,U020,2023-10-21,3
5502,M044,U018,2023-08-04,1
5503,M054,U018,2023-06-14,1
5504,M086,U007,2023-06-10,1
5505,M020,U015,2023-10-22,1
5506,M012,U019,2023-08-13,2
5507,M096,U015,2023-07-15,3
5508,M005,U005,2023-06-02,1
5509,M031,U001,2023-10-28,3
5510,M090,U020,2023-09-12,3
5511,M047,U017,2023-06-01,3
5512,M009,U009,2023-08-02,1
5513,M047,U006,2023-07-31,3
5514,M059,U014,2023-06-05,3
5515,M014,U002,2023-08-19,2
5516,M068,U018,2023-06-14,1
5517,M065,U011,2023-09-09,2
5518,M029,U010,2023-09-27,3
5519,M099,U015,2023-06-24,1
5520,M034,U002,2023-06-10,1
5521,M090,U002,2023-09-02,2
5522,M071,U016,2023-07-20,3
5523,M010,U013,2023-07-08,3
5524,M020,U010,2023-09-13,3
5525,M098,U003,2023-10-04,1
5526,M084,U015,2023-09-10,1
5527,M022,U017,2023-10-16,2
5528,M094,U006,2023-10-06,1
5529,M085,U020,2023-08-04,2
5530,M098,U009,2023-07-21,2
5531,M047,U018,2023-07-29,2
5532,M069,U003,2023-07-04,1
5533,M064,U020,2023-06-07,2
5534,M028,U019,2023-09-15,3
5535,M022,U003,2023-09-16,1
5536,M052,U003,2023-08-03,1
5537,M050,U015,2023-07-30,1
5538,M065,U017,2023-09-26,1
5539,M023,U004,2023-10-06,1
5540,M023,U018,2023-08-08,3
5541,M015,U006,2023-10-13,2
5542,M079,U019,2023-08-30,3
5543,M015,U006,2023-06-14,3
5544,M028,U005,2023-07-06,3
5545,M034,U008,2023-09-09,2
5546,M061,U020,2023-08-22,1
5547,M064,U012,2023-09-03,1
5548,M001,U020,2023-07-28,1
5549,M006,U018,2023-07-28,2
5550,M063,U010,2023-10-11,2
5551,M003,U004,2023-08-20,1
5552,M057,U003,2023-07-24,1
5553,M090,U009,2023-06-03,1
5554,M057,U015,2023-07-19,1
5555,M093,U007,2023-06-03,1
5556,M024,U016,2023-10-08,3
5557,M070,U010,2023-08-10,1
5558,M031,U002,2023-07-06,1
5559,M014,U013,2023-10-06,2
5560,M042,U009,2023-10-25,3
5561,M009,U003,2023-07-24,1
5562,M051,U017,2023-08-30,3
5563,M008,U012,2023-10-14,3
5564,M049,U014,2023-09-22,1
5565,M018,U007,2023-07-03,3
5566,M080,U004,2023-09-21,2
5567,M067,U020,2023-09-04,1
5568,M001,U014,2023-10-01,3
5569,M053,U009,2023-10-15,3
5570,M095,U007,2023-10-21,3
5571,M007,U017,2023-06-01,2
5572,M073,U011,2023-10-24,2
5573,M016,U014,2023-09-08,1
5574,M078,U001,2023-09-03,2
5575,M022,U001,2023-07-04,3
5576,M027,U010,2023-07-14,2
5577,M014,U012,2023-06-20,3
5578,M064,U011,2023-09-02,3
5579,M026,U004,2023-09-25,2
5580,M057,U020,2023-07-16,2
5581,M036,U020,2023-10-17,2
5582,M090,U009,2023-09-08,1
5583,M083,U010,2023-08-21,3
5584,M014,U004,2023-08-02,3
5585,M085,U007,2023-07-15,1
5586,M022,U006,2023-06-21,2
5587,M042,U014,2023-08-18,2
5588,M074,U016,2023-09-24,3
5589,M018,U012,2023-07-06,3
5590,M004,U015,2023-10-10,2
5591,M083,U009,2023-09-19,2
5592,M078,U020,2023-07-08,2
5593,M095,U017,2023-10-15,3
5594,M005,U020,2023-06-02,1
5595,M036,U002,2023-09-10,1
5596,M010,U004,2023-08-17,1
5597,M025,U018,2023-08-27,1
5598,M070,U013,2023-07-23,2
5599,M084,U011,2023-08-02,1
5600,M096,U014,2023-09-26,1
5601,M093,U012,2023-08-27,2
5602,M023,U006,2023-09-24,2
5603,M073,U020,2023-06-26,2
5604,M020,U009,2023-08-18,1
5605,M015,U020,2023-10-08,2
5606,M072,U016,2023-08-10,2
5607,M086,U013,2023-09-02,3
5608,M029,U013,2023-06-18,3
5609,M100,U001,2023-07-31,3
5610,M033,U003,2023-08-08,3
5611,M033,U020,2023-06-27,1
5612,M013,U007,2023-07-17,3
5613,M093,U014,2023-06-18,2
5614,M023,U011,2023-10-28,3
5615,M029,U008,2023-08-27,2
5616,M065,U011,2023-08-01,3
5617,M082,U006,2023-08-10,3
5618,M001,U009,2023-06-23,2
5619,M002,U017,2023-09-24,1
5620,M090,U003,2023-10-16,2
5621,M053,U008,2023-08-16,2
5622,M071,U006,2023-06-11,2
5623,M098,U014,2023-08-07,2
5624,M009,U019,2023-07-15,2
5625,M052,U016,2023-09-01,3
5626,M075,U008,2023-10-04,3
5627,M017,U020,2023-09-05,1
5628,M020,U006,2023-07-29,2
5629,M083,U019,2023-08-07,1
5630,M089,U018,2023-10-27,2
5631,M055,U002,2023-06-03,1
5632,M029,U011,2023-09-17,1
5633,M081,U007,2023-06-15,1
5634,M017,U001,2023-09-14,2
5635,M099,U001,2023-08-23,3
5636,M060,U011,2023-09-02,1
5637,M018,U010,2023-09-10,2
5638,M094,U020,2023-10-05,3
5639,M021,U006,2023-06-29,2
5640,M067,U016,2023-07-30,1
5641,M097,U014,2023-09-11,1
5642,M003,U004,2023-10-14,1
5643,M040,U003,2023-08-01,3
5644,M068,U006,2023-10-01,3
5645,M008,U011,2023-09-29,3
5646,M006,U016,2023-09-16,1
5647,M001,U009,2023-07-20,2
5648,M083,U017,2023-10-01,2
5649,M064,U008,2023-09-16,1
5650,M011,U007,2023-07-18,3
5651,M076,U019,2023-10-01,1
5652,M052,U002,2023-06-01,1
5653,M087,U013,2023-08-10,1
5654,M034,U005,2023-10-14,3
5655,M089,U011,2023-07-22,1
5656,M066,U006,2023-10-18,3
5657,M070,U013,2023-10-05,2
5658,M086,U008,2023-09-08,2
5659,M084,U001,2023-07-05,2
5660,M032,U012,2023-08-09,3
5661,M019,U006,2023-06-21,3
5662,M014,U013,2023-09-11,3
5663,M045,U001,2023-09-14,3
5664,M009,U019,2023-09-28,1
5665,M048,U014,2023-09-12,3
5666,M098,U006,2023-09-10,3
5667,M006,U010,2023-08-02,1
5668,M030,U014,2023-10-09,3
5669,M003,U018,2023-06-30,2
5670,M027,U017,2023-07-23,2
5671,M074,U012,2023-08-22,1
5672,M042,U017,2023-06-23,3
5673,M088,U004,2023-09-21,1
5674,M035,U009,2023-09-02,3
5675,M077,U007,2023-09-20,3
5676,M091,U011,2023-06-16,1
5677,M020,U005,2023-09-04,3
5678,M023,U017,2023-08-30,1
5679,M053,U007,2023-06-15,1
5680,M039,U002,2023-07-02,2
5681,M015,U015,2023-06-10,1
5682,M089,U016,2023-09-15,1
5683,M018,U002,2023-07-23,1
5684,M097,U005,2023-07-31,3
5685,M071,U018,2023-08-28,1
5686,M097,U014,2023-08-14,2
5687,M100,U012,2023-07-04,3
5688,M060,U011,2023-06-28,2
5689,M083,U018,2023-08-07,1
5690,M055,U020,2023-10-26,3
5691,M072,U008,2023-07-15,3
5692,M045,U010,2023-07-03,2
5693,M076,U005,2023-07-03,2
5694,M019,U003,2023-06-07,1
5695,M084,U015,2023-10-29,2
5696,M064,U012,2023-09-02,2
5697,M090,U011,2023-08-27,3
5698,M098,U001,2023-08-05,2
5699,M055,U014,2023-07-21,2
5700,M025,U020,2023-06-10,1
5701,M037,U008,2023-09-25,1
5702,M010,U018,2023-09-13,2
5703,M073,U019,2023-08-26,3
5704,M100,U013,2023-06-02,1
5705,M082,U002,2023-09-19,1
5706,M013,U012,2023-06-19,3
5707,M023,U007,2023-07-01,1
5708,M011,U002,2023-09-30,3
5709,M005,U020,2023-09-28,3
5710,M061,U016,2023-09-26,3
5711,M062,U010,2023-10-05,1
5712,M098,U005,2023-10-15,3
5713,M011,U019,2023-07-21,2
5714,M004,U001,2023-09-16,1
5715,M077,U008,2023-10-20,3
5716,M004,U007,2023-06-26,2
5717,M093,U005,2023-06-09,2
5718,M083,U010,2023-08-16,3
5719,M063,U009,2023-08-16,2
5720,M035,U008,2023-07-18,1
5721,M099,U020,2023-09-13,2
5722,M074,U010,2023-06-22,1
5723,M058,U018,2023-06-05,3
5724,M004,U008,2023-10-15,2
5725,M007,U007,2023-08-21,3
5726,M006,U018,2023-10-18,3
5727,M015,U002,2023-08-08,3
5728,M021,U018,2023-08-31,1
5729,M098,U020,2023-08-16,2
5730,M019,U017,2023-07-22,3
5731,M022,U005,2023-08-23,2
5732,M019,U017,2023-06-11,2
5733,M057,U016,2023-07-18,3
5734,M050,U018,2023-06-26,1
5735,M066,U002,2023-06-17,3
5736,M039,U015,2023-07-25,2
5737,M056,U004,2023-09-20,1
5738,M012,U009,2023-08-16,2
5739,M040,U020,2023-10-19,2
5740,M067,U014,2023-10-04,2
5741,M054,U006,2023-10-02,3
5742,M018,U014,2023-07-30,3
5743,M049,U016,2023-08-17,2
5744,M068,U007,2023-09-19,2
5745,M066,U015,2023-10-05,1
5746,M063,U013,2023-10-22,1
5747,M094,U011,2023-07-28,1
5748,M056,U009,2023-08-13,3
5749,M077,U010,2023-07-13,3
5750,M064,U007,2023-09-20,2
5751,M042,U020,2023-07-02,1
5752,M028,U016,2023-07-09,2
5753,M004,U016,2023-08-01,1
5754,M068,U012,2023-07-14,1
5755,M026,U005,2023-06-06,3
5756,M022,U019,2023-09-25,3
5757,M016,U012,2023-10-20,1
5758,M038,U016,2023-09-28,3
5759,M073,U017,2023-10-09,2
5760,M037,U020,2023-08-19,3
5761,M013,U008,2023-08-05,2
5762,M050,U002,2023-10-27,3
5763,M079,U017,2023-06-17,2
5764,M019,U013,2023-08-28,1
5765,M084,U011,2023-07-17,1
5766,M044,U011,2023-06-13,1
5767,M071,U014,2023-08-06,1
5768,M038,U005,2023-07-30,3
5769,M042,U003,2023-06-22,1
5770,M078,U016,2023-06-10,2
5771,M044,U010,2023-09-30,1
5772,M059,U013,2023-09-21,2
5773,M078,U019,2023-09-17,1
